path,folder,score,wins,losses,duels,last_seen_iso,hidden
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\5140964.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.97,2,0,2,2025-09-19T19:20:23Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\reysi\3989865.png,I:\OneDrive\Discord Downloader Output\+\Grabber\reysi,1031.97,2,0,2,2025-09-28T16:11:15Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots\3568442.png,I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots,1031.97,2,0,2,2025-11-16T21:31:35Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots\5741687.png,I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots,1031.97,2,0,2,2025-09-19T05:00:02Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kesha_kotolapa\5629378.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kesha_kotolapa,1031.30,2,0,2,2025-09-20T13:19:34Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\oxfort2199\5657520.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\oxfort2199,1031.30,2,0,2,2025-09-20T03:34:12Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\4368657.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.30,2,0,2,2025-10-03T01:43:46Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\cuteconfy\5826038.png,I:\OneDrive\Discord Downloader Output\+\Grabber\cuteconfy,1031.26,2,0,2,2025-11-16T21:30:51Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\alikars\5374322.png,I:\OneDrive\Discord Downloader Output\+\Grabber\alikars,1031.26,2,0,2,2025-09-20T13:19:14Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\alikars\5526550.png,I:\OneDrive\Discord Downloader Output\+\Grabber\alikars,1031.26,2,0,2,2025-10-03T02:14:12Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\boxofmonsters\5286731.gif,I:\OneDrive\Discord Downloader Output\+\Grabber\boxofmonsters,1031.26,2,0,2,2025-09-19T03:49:36Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat\4502506.png,I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat,1031.26,2,0,2,2025-10-25T20:55:43Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat\4554755.png,I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat,1031.26,2,0,2,2025-09-19T05:27:16Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat\5050238.png,I:\OneDrive\Discord Downloader Output\+\Grabber\cum.cat,1031.26,2,0,2,2025-09-20T03:39:53Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\divucup\5560417.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\divucup,1031.26,2,0,2,2025-09-23T05:34:47Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\dr.kiyo\4546535.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\dr.kiyo,1031.26,2,0,2,2025-09-19T04:59:49Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\drawz_art\5480755.png,I:\OneDrive\Discord Downloader Output\+\Grabber\drawz_art,1031.26,2,0,2,2025-09-19T05:53:45Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow\2879573.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow,1031.26,2,0,2,2025-09-20T13:38:36Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow\4231309.png,I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow,1031.26,2,0,2,2025-09-20T13:17:29Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow\5603715.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\duskiglow,1031.26,2,0,2,2025-09-23T04:47:03Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\fent\5236088.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\fent,1031.26,2,0,2,2025-09-19T02:14:27Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\fumiko\2847069.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\fumiko,1031.26,2,0,2,2025-10-03T01:45:46Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\horizon-fucker\4977245.gif,I:\OneDrive\Discord Downloader Output\+\Grabber\horizon-fucker,1031.26,2,0,2,2025-10-25T20:49:36Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi\5116879.png,I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi,1031.26,2,0,2,2025-09-19T04:19:22Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi\5296467.png,I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi,1031.26,2,0,2,2025-10-03T01:43:58Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\janiskisa\4898776.png,I:\OneDrive\Discord Downloader Output\+\Grabber\janiskisa,1031.26,2,0,2,2025-09-19T04:50:16Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\joooji\4905863.gif,I:\OneDrive\Discord Downloader Output\+\Grabber\joooji,1031.26,2,0,2,2025-09-19T01:56:50Z,0
